"Time","Traffic In","Traffic Out"
2022-01-04 00:00:00,196705008,641095656
2022-01-05 00:00:00,695027448,679438984
2022-01-06 00:00:00,1573131984,738015088
2022-01-07 00:00:00,1435702240,767092728
2022-01-08 00:00:00,1273264376,752565832
2022-01-09 00:00:00,1432536960,977823192
2022-01-10 00:00:00,1275971992,1259851128
2022-01-11 00:00:00,1175879248,1430251184
2022-01-12 00:00:00,744305280,1491339400
2022-01-13 00:00:00,442505608,1457132376
2022-01-14 00:00:00,358064408,1477880832
2022-01-15 00:00:00,160305352,1377922776
2022-01-16 00:00:00,275550480,1502683264
2022-01-17 00:00:00,347318808,1693275784
2022-01-18 00:00:00,365580128,1699022672
2022-01-19 00:00:00,355301448,1880975808
2022-01-20 00:00:00,396343080,1931973192
2022-01-21 00:00:00,323349048,1713486912
2022-01-22 00:00:00,208945928,1682980888
2022-01-23 00:00:00,261594008,2057924016
2022-01-24 00:00:00,447516432,2501062496
2022-01-25 00:00:00,411880464,2649951704
2022-01-26 00:00:00,434357600,2487930024
2022-01-27 00:00:00,451652968,2429477320
2022-01-28 00:00:00,403396504,2343146248
2022-01-29 00:00:00,241562616,2029972080
2022-01-30 00:00:00,281440336,2125651168
2022-01-31 00:00:00,429296160,2500801328
2022-02-01 00:00:00,450727096,2731761712
2022-02-02 00:00:00,421266544,2579361696
2022-02-03 00:00:00,430990464,2642424664
2022-02-04 00:00:00,380510320,2328225336
2022-02-05 00:00:00,204588896,1823804848
2022-02-06 00:00:00,316264232,2165058016
2022-02-07 00:00:00,396433736,2515858704
2022-02-08 00:00:00,488269432,2870625056
2022-02-09 00:00:00,429861008,2651661992
2022-02-10 00:00:00,410579424,2517986592
2022-02-11 00:00:00,385562920,2403840576
2022-02-12 00:00:00,230595624,1990365704
2022-02-13 00:00:00,245455200,1963574360
2022-02-14 00:00:00,400337720,2504119000
2022-02-15 00:00:00,397167608,2767337680
2022-02-16 00:00:00,417213016,2607639736
2022-02-17 00:00:00,432103376,2653385952
2022-02-18 00:00:00,383527648,2580102280
2022-02-19 00:00:00,231325600,2221828296
2022-02-20 00:00:00,261084656,2267959064
2022-02-21 00:00:00,379266632,2508242368
2022-02-22 00:00:00,413607368,2719190760
2022-02-23 00:00:00,399121384,2632939664
2022-02-24 00:00:00,426006536,2593954560
2022-02-25 00:00:00,348610992,2472831968
2022-02-26 00:00:00,224404520,1995005200
2022-02-27 00:00:00,279725384,2062580784
2022-02-28 00:00:00,430588608,2558016264
2022-03-01 00:00:00,438870416,2833927824
2022-03-02 00:00:00,442635152,2856030712
2022-03-03 00:00:00,451372288,2689136696
2022-03-04 00:00:00,394730088,2464293192
2022-03-05 00:00:00,277758344,2022416512
2022-03-06 00:00:00,282507688,2252021048
2022-03-07 00:00:00,411862464,2662578760
2022-03-08 00:00:00,451910672,2726082536
2022-03-09 00:00:00,455146000,2847674272
2022-03-10 00:00:00,497404112,2630960056
2022-03-11 00:00:00,427198728,2443878208
2022-03-12 00:00:00,232247072,1957908352
2022-03-13 00:00:00,280828928,2135523992
2022-03-14 00:00:00,430307136,2725892552
2022-03-15 00:00:00,409561968,2823603392
2022-03-16 00:00:00,522511496,2685686896
2022-03-17 00:00:00,413814552,2664717280
2022-03-18 00:00:00,370006976,2389431856
2022-03-19 00:00:00,241017688,1965076560
2022-03-20 00:00:00,272206648,2281251848
2022-03-21 00:00:00,422710000,2553920696
2022-03-22 00:00:00,420303976,2585720464
2022-03-23 00:00:00,425646704,2824989920
2022-03-24 00:00:00,415910240,2800578264
2022-03-25 00:00:00,352517016,2391974000
2022-03-26 00:00:00,220421000,2008677296
2022-03-27 00:00:00,268662936,1895512488
2022-03-28 01:00:00,372693880,2425977584
2022-03-29 01:00:00,438620408,3059288360
2022-03-30 01:00:00,428134008,2840843880
2022-03-31 01:00:00,448769968,2665221744
2022-04-01 01:00:00,375582672,2618646072
2022-04-02 01:00:00,237553280,1916851080
2022-04-03 01:00:00,293065680,2060769584
2022-04-04 01:00:00,395765856,2363147984
2022-04-05 01:00:00,405006752,2450415272
2022-04-06 01:00:00,391896168,2232958640
2022-04-07 01:00:00,401034184,2172074456
2022-04-08 01:00:00,289454992,1932778144
2022-04-09 01:00:00,191602600,1372383216
2022-04-10 01:00:00,180438880,1101258768
2022-04-11 01:00:00,233507144,1070561936
2022-04-12 01:00:00,276220472,1002357616
2022-04-13 01:00:00,232467944,1000700000
2022-04-14 01:00:00,201762304,925634016
2022-04-15 01:00:00,141207024,663671912
2022-04-16 01:00:00,116501312,558069400
2022-04-17 01:00:00,116504888,516061368
2022-04-18 01:00:00,151683176,588005184
2022-04-19 01:00:00,201856656,832024256
2022-04-20 01:00:00,219455312,1118847352
2022-04-21 01:00:00,235460344,1233059112
2022-04-22 01:00:00,192549152,1193162488
2022-04-23 01:00:00,139674520,909012656
2022-04-24 01:00:00,159186144,859328824
2022-04-25 01:00:00,281357240,1270887944
2022-04-26 01:00:00,306708240,1436480216
2022-04-27 01:00:00,314263720,1579022280
2022-04-28 01:00:00,318211304,1571393272
2022-04-29 01:00:00,268675776,1247808672
2022-04-30 01:00:00,173665744,1180186216
2022-05-01 01:00:00,240035840,1388187248
2022-05-02 01:00:00,223306824,1628898696
2022-05-03 01:00:00,408117648,2144379112
2022-05-04 01:00:00,397295064,2292045008
2022-05-05 01:00:00,399320536,2284303248
2022-05-06 01:00:00,373516464,2096640176
2022-05-07 01:00:00,218574208,1779297240
2022-05-08 01:00:00,255667400,1842064928
2022-05-09 01:00:00,358423344,2109513408
2022-05-10 01:00:00,407471488,2309802824
2022-05-11 01:00:00,405578352,2424662664
2022-05-12 01:00:00,388959496,2431138184
2022-05-13 01:00:00,316126648,2150544592
2022-05-14 01:00:00,209675288,1965135672
2022-05-15 01:00:00,273488240,1993006632
2022-05-16 01:00:00,365244144,2250836944
2022-05-17 01:00:00,365638424,2277127176
2022-05-18 01:00:00,393218640,2129148584
2022-05-19 01:00:00,393532536,2318035024
2022-05-20 01:00:00,328840224,2251246432
