in,out,Month_Start,Year_Start,in_up,in_down,out_up,out_down
174992683.42857143,841693323.4285715,0,0,174992683.42857143,0.0,841693323.4285715,0.0
178889166.85714287,851837266.2857143,0,0,178889166.85714287,0.0,851837266.2857143,0.0
186574344.0,891451557.7142857,256,0,186574344.0,0.0,891451557.7142857,0.0
188299785.14285713,881860256.0,0,0,188299785.14285713,0.0,0.0,881860256.0
197366314.2857143,878608851.4285715,0,0,197366314.2857143,0.0,0.0,878608851.4285715
186699166.85714287,899922246.8571428,0,0,0.0,186699166.85714287,899922246.8571428,0.0
192866005.7142857,948211626.2857143,256,0,192866005.7142857,0.0,948211626.2857143,0.0
232116746.2857143,1093465588.5714285,0,0,232116746.2857143,0.0,1093465588.5714285,0.0
232803521.14285713,1142766554.2857144,0,0,232803521.14285713,0.0,1142766554.2857144,0.0
204991675.42857143,1009017214.8571428,0,0,0.0,204991675.42857143,0.0,1009017214.8571428
130501625.14285715,688892300.5714285,256,0,0.0,130501625.14285715,0.0,688892300.5714285
117986860.57142857,655013040.0,0,0,0.0,117986860.57142857,0.0,655013040.0
163240758.85714287,838835803.4285715,0,0,163240758.85714287,0.0,838835803.4285715,0.0
233350678.85714287,1333679034.2857144,0,0,233350678.85714287,0.0,1333679034.2857144,0.0
291193780.5714286,1402109533.7142856,256,0,291193780.5714286,0.0,1402109533.7142856,0.0
252644601.14285713,1447812249.142857,0,0,0.0,252644601.14285713,1447812249.142857,0.0
250890288.0,1406143832.0,0,0,0.0,250890288.0,0.0,1406143832.0
231116057.14285713,1369514044.5714285,0,0,0.0,231116057.14285713,0.0,1369514044.5714285
211972237.7142857,1274995973.7142856,0,0,0.0,211972237.7142857,0.0,1274995973.7142856
165392773.7142857,1085340001.142857,256,0,0.0,165392773.7142857,0.0,1085340001.142857
162446661.7142857,795255805.7142857,0,0,0.0,162446661.7142857,0.0,795255805.7142857
119589530.28571428,341325230.85714287,0,0,0.0,119589530.28571428,0.0,341325230.85714287
333810529.14285713,315592240.0,0,0,333810529.14285713,0.0,0.0,315592240.0
644958117.7142857,293786883.4285714,256,0,644958117.7142857,0.0,0.0,293786883.4285714
331228139.4285714,295462573.71428573,0,0,0.0,331228139.4285714,295462573.71428573,0.0
181473617.14285713,300011862.85714287,0,0,0.0,181473617.14285713,300011862.85714287,0.0
173686821.7142857,267022341.7142857,0,0,0.0,173686821.7142857,0.0,267022341.7142857
184055787.42857143,267057432.0,256,0,184055787.42857143,0.0,267057432.0,0.0
146908221.7142857,232505046.85714287,0,0,0.0,146908221.7142857,0.0,232505046.85714287
141588873.14285713,266911442.2857143,0,0,0.0,141588873.14285713,266911442.2857143,0.0
139557116.57142857,237103443.42857143,0,0,0.0,139557116.57142857,0.0,237103443.42857143
131145083.42857143,213254889.14285713,0,0,0.0,131145083.42857143,0.0,213254889.14285713
142755425.14285713,209743253.7142857,256,0,142755425.14285713,0.0,0.0,209743253.7142857
151095413.7142857,247225275.42857143,0,0,151095413.7142857,0.0,247225275.42857143,0.0
186797331.42857143,309502413.71428573,0,0,186797331.42857143,0.0,309502413.71428573,0.0
202598385.14285713,693263733.7142857,0,0,202598385.14285713,0.0,693263733.7142857,0.0
349980579.4285714,2100779249.142857,256,0,349980579.4285714,0.0,2100779249.142857,0.0
362737525.71428573,2171436134.857143,0,0,362737525.71428573,0.0,2171436134.857143,0.0
353868297.14285713,2236655458.285714,0,0,0.0,353868297.14285713,2236655458.285714,0.0
363374584.0,2228635877.714286,0,0,363374584.0,0.0,0.0,2228635877.714286
382228637.71428573,2153777865.142857,0,0,382228637.71428573,0.0,0.0,2153777865.142857
368544323.4285714,2320611340.571429,256,0,0.0,368544323.4285714,2320611340.571429,0.0
357250897.14285713,2355679942.857143,0,0,0.0,357250897.14285713,2355679942.857143,0.0
389639069.71428573,2322231380.571429,0,0,389639069.71428573,0.0,0.0,2322231380.571429
373373518.85714287,2199949417.142857,0,0,0.0,373373518.85714287,0.0,2199949417.142857
370353742.85714287,2304200656.0,256,0,0.0,370353742.85714287,2304200656.0,0.0
391236886.85714287,2534542344.0,0,0,391236886.85714287,0.0,2534542344.0,0.0
317656624.0,1752931371.4285715,0,0,0.0,317656624.0,0.0,1752931371.4285715
140369762.2857143,499284733.71428573,0,0,0.0,140369762.2857143,0.0,499284733.71428573
199571492.8,323959849.6,0,0,199571492.8,0.0,0.0,323959849.6
45776045.333333336,300152826.6666667,256,256,0.0,45776045.333333336,0.0,300152826.6666667
1088633909.3333333,731231637.3333334,0,0,1088633909.3333333,0.0,731231637.3333334,0.0
633226052.5714285,1428151565.7142856,0,0,0.0,633226052.5714285,1428151565.7142856,0.0
322633206.85714287,1808519896.0,0,0,0.0,322633206.85714287,1808519896.0,0.0
381686702.85714287,2366741577.142857,0,0,381686702.85714287,0.0,2366741577.142857,0.0
376234816.0,2395919657.142857,256,0,0.0,376234816.0,2395919657.142857,0.0
369536763.4285714,2416273283.428571,0,0,0.0,369536763.4285714,2416273283.428571,0.0
360394232.0,2514624572.571429,0,0,0.0,360394232.0,2514624572.571429,0.0
352963259.4285714,2426392186.285714,0,0,0.0,352963259.4285714,0.0,2426392186.285714
388351797.71428573,2525120321.142857,256,0,388351797.71428573,0.0,2525120321.142857,0.0
393799710.85714287,2486372310.857143,0,0,393799710.85714287,0.0,0.0,2486372310.857143
379918066.28571427,2505094340.571429,0,0,0.0,379918066.28571427,2505094340.571429,0.0
360881696.0,2437339018.285714,0,0,0.0,360881696.0,0.0,2437339018.285714
370631413.71428573,2512514043.428571,256,0,370631413.71428573,0.0,2512514043.428571,0.0
322171347.4285714,1946430925.7142856,0,0,0.0,322171347.4285714,0.0,1946430925.7142856
188310155.42857143,819579464.0,0,0,0.0,188310155.42857143,0.0,819579464.0
185695043.42857143,961919981.7142857,0,0,0.0,185695043.42857143,961919981.7142857,0.0
271845409.14285713,1381995121.142857,256,0,271845409.14285713,0.0,1381995121.142857,0.0
325114020.5714286,2009661201.142857,0,0,325114020.5714286,0.0,2009661201.142857,0.0
337103265.14285713,2197686282.285714,0,0,337103265.14285713,0.0,2197686282.285714,0.0
332845281.14285713,2148960401.142857,0,0,0.0,332845281.14285713,0.0,2148960401.142857
293877331.4285714,1970850993.142857,0,0,0.0,293877331.4285714,0.0,1970850993.142857
224368097.14285713,1498522752.0,256,0,0.0,224368097.14285713,0.0,1498522752.0
217974634.2857143,1003562533.7142857,0,0,0.0,217974634.2857143,0.0,1003562533.7142857
155133034.2857143,480862675.4285714,0,0,0.0,155133034.2857143,0.0,480862675.4285714
154021106.2857143,474177442.28571427,0,0,0.0,154021106.2857143,0.0,474177442.28571427
155341933.7142857,417331795.4285714,256,0,155341933.7142857,0.0,0.0,417331795.4285714
148572309.7142857,386521812.5714286,0,0,0.0,148572309.7142857,0.0,386521812.5714286
158881156.57142857,428344481.14285713,0,0,158881156.57142857,0.0,428344481.14285713,0.0
172668474.2857143,403731947.4285714,0,0,172668474.2857143,0.0,0.0,403731947.4285714
133297518.85714285,324618636.5714286,0,0,0.0,133297518.85714285,0.0,324618636.5714286
131248816.0,308655987.4285714,256,0,0.0,131248816.0,0.0,308655987.4285714
132541033.14285715,311051132.5714286,0,0,132541033.14285715,0.0,311051132.5714286,0.0
135386114.2857143,338087306.28571427,0,0,135386114.2857143,0.0,338087306.28571427,0.0
149626745.14285713,289355704.0,0,0,149626745.14285713,0.0,0.0,289355704.0
123316883.42857143,275297564.5714286,256,0,0.0,123316883.42857143,0.0,275297564.5714286
138098425.14285713,336895893.71428573,0,0,138098425.14285713,0.0,336895893.71428573,0.0
142934782.85714287,307896182.85714287,0,0,142934782.85714287,0.0,0.0,307896182.85714287
180775715.42857143,709986649.1428572,0,0,180775715.42857143,0.0,709986649.1428572,0.0
