"Time","Traffic In","Traffic Out"
2019-05-08 01:00:00,151282744,1715496984
2019-05-09 01:00:00,167894400,1772238952
2019-05-10 01:00:00,154080360,1662878760
2019-05-11 01:00:00,124789432,1578324272
2019-05-12 01:00:00,146658584,1641041016
2019-05-13 01:00:00,161231928,1784441200
2019-05-14 01:00:00,156640072,1885098800
2019-05-15 01:00:00,163600032,1825288528
2019-05-16 01:00:00,165112936,1700347624
2019-05-17 01:00:00,135360688,1689691640
2019-05-18 01:00:00,131713152,1592344560
2019-05-19 01:00:00,126595256,1557545112
2019-05-20 01:00:00,157637904,1715284040
2019-05-21 01:00:00,142046504,1769564336
2019-05-22 01:00:00,135737096,1675057128
2019-05-23 01:00:00,129774144,1546093648
2019-05-24 01:00:00,122523912,1318289728
2019-05-25 01:00:00,106560112,1269992216
2019-05-26 01:00:00,107505240,1181218400
2019-05-27 01:00:00,102169936,1122306144
2019-05-28 01:00:00,92975200,999068232
2019-05-29 01:00:00,112642648,1133919440
2019-05-30 01:00:00,100293488,1105759216
2019-05-31 01:00:00,105796256,1007220064
2019-06-01 01:00:00,69830304,904904064
2019-06-02 01:00:00,67780648,832944848
2019-06-03 01:00:00,87761168,958134632
2019-06-04 01:00:00,96983448,1069075664
2019-06-05 01:00:00,126960600,943536264
2019-06-06 01:00:00,102086960,908014224
2019-06-07 01:00:00,70917912,695739264
2019-06-08 01:00:00,26038432,324211992
2019-06-09 01:00:00,28563248,247992792
2019-06-10 01:00:00,54534480,468940240
2019-06-11 01:00:00,53620928,499790736
2019-06-12 01:00:00,49055160,525576424
2019-06-13 01:00:00,48344984,502741112
2019-06-14 01:00:00,40501552,467583928
2019-06-15 01:00:00,23822848,312015232
2019-06-16 01:00:00,25564672,280531512
2019-06-17 01:00:00,43363352,469109968
2019-06-18 01:00:00,44943280,473123448
2019-06-19 01:00:00,45530672,450818880
2019-06-20 01:00:00,50835320,436387560
2019-06-21 01:00:00,41457048,407460168
2019-06-22 01:00:00,27806776,293652136
2019-06-23 01:00:00,26113016,277860672
2019-06-24 01:00:00,42237200,467378312
2019-06-25 01:00:00,48992104,489417976
2019-06-26 01:00:00,48852768,434177904
2019-06-27 01:00:00,45147648,405422704
2019-06-28 01:00:00,49382912,392989624
2019-06-29 01:00:00,29713880,286611528
2019-06-30 01:00:00,29531680,285399760
2019-07-01 01:00:00,45539272,405078904
2019-07-02 01:00:00,41250680,391389472
2019-07-03 01:00:00,47031512,325958096
2019-07-04 01:00:00,50590392,313206096
2019-07-05 01:00:00,34553896,281242264
2019-07-06 01:00:00,19923600,183812816
2019-07-07 01:00:00,21518352,176114160
2019-07-08 01:00:00,50148328,324594760
2019-07-09 01:00:00,43469280,421838648
2019-07-10 01:00:00,46692920,457071344
2019-07-11 01:00:00,47358368,452613584
2019-07-12 01:00:00,38311840,375345896
2019-07-13 01:00:00,23376376,248472544
2019-07-14 01:00:00,21359864,255258168
2019-07-15 01:00:00,53342144,351276752
2019-07-16 01:00:00,49142360,331749864
2019-07-17 01:00:00,58193168,332960888
2019-07-18 01:00:00,61804336,385215072
2019-07-19 01:00:00,53848552,376680704
2019-07-20 01:00:00,22391200,246752424
2019-07-21 01:00:00,20468408,226371704
2019-07-22 01:00:00,40231984,326801496
2019-07-23 01:00:00,41941600,264917800
2019-07-24 01:00:00,40425784,298572928
2019-07-25 01:00:00,41470392,359298960
2019-07-26 01:00:00,34443728,332155968
2019-07-27 01:00:00,20990440,244011192
2019-07-28 01:00:00,20812536,233399824
2019-07-29 01:00:00,37832568,339992472
2019-07-30 01:00:00,43365280,371745896
2019-07-31 01:00:00,33653480,361308712
2019-08-01 01:00:00,35608736,375227376
2019-08-02 01:00:00,41079632,377186592
2019-08-03 01:00:00,18907520,250372920
2019-08-04 01:00:00,21905392,247182496
2019-08-05 01:00:00,35445032,355891600
2019-08-06 01:00:00,33770120,361406568
2019-08-07 01:00:00,41959880,357952160
2019-08-08 01:00:00,40360352,353163520
2019-08-09 01:00:00,34002104,289395520
2019-08-10 01:00:00,15886440,170008336
2019-08-11 01:00:00,18641776,181271336
2019-08-12 01:00:00,69694808,391311592
2019-08-13 01:00:00,54897920,352175744
2019-08-14 01:00:00,47668088,354979664
2019-08-15 01:00:00,52334928,331538192
2019-08-16 01:00:00,35570168,270206664
2019-08-17 01:00:00,19526400,163867672
2019-08-18 01:00:00,22230648,150493168
2019-08-19 01:00:00,42081816,248374056
2019-08-20 01:00:00,44375024,314077184
2019-08-21 01:00:00,30471168,316548904
2019-08-22 01:00:00,39127888,299582656
2019-08-23 01:00:00,29793448,210984264
2019-08-24 01:00:00,15793768,140096352
2019-08-25 01:00:00,16120496,121077016
2019-08-26 01:00:00,17897936,119511000
2019-08-27 01:00:00,30783184,226080776
2019-08-28 01:00:00,41294128,226080344
2019-08-29 01:00:00,41123296,300395112
2019-08-30 01:00:00,31449000,226461456
2019-08-31 01:00:00,22145216,117469912
2019-09-01 01:00:00,20032680,141769424
2019-09-02 01:00:00,32317272,249890728
2019-09-03 01:00:00,37176664,296942688
2019-09-04 01:00:00,44312952,258535568
2019-09-05 01:00:00,36209632,251716016
2019-09-06 01:00:00,39336088,252739032
2019-09-07 01:00:00,18515176,150201384
2019-09-08 01:00:00,19295416,160913896
2019-09-09 01:00:00,36056712,257458448
2019-09-10 01:00:00,33434512,276425408
2019-09-11 01:00:00,40961184,267959904
2019-09-12 01:00:00,38526696,259162936
2019-09-13 01:00:00,34689832,259887104
2019-09-14 01:00:00,17461304,124141840
2019-09-15 01:00:00,16889560,105880056
2019-09-16 01:00:00,34716272,249621920
2019-09-17 01:00:00,35293568,250993824
2019-09-18 01:00:00,40296288,284159936
2019-09-19 01:00:00,36764264,298662752
2019-09-20 01:00:00,29602712,252836920
2019-09-21 01:00:00,19047832,154513392
2019-09-22 01:00:00,20694208,183671032
2019-09-23 01:00:00,56400000,344489256
2019-09-24 01:00:00,48350216,373674224
2019-09-25 01:00:00,54395568,444993712
2019-09-26 01:00:00,63302576,490028360
2019-09-27 01:00:00,57209456,467747416
2019-09-28 01:00:00,69754816,752836200
2019-09-29 01:00:00,131822472,1505355752
2019-09-30 01:00:00,153042184,1658396384
2019-10-01 01:00:00,150786736,1922374288
2019-10-02 01:00:00,151995952,1926278128
2019-10-03 01:00:00,177617280,2008721400
2019-10-04 01:00:00,142445424,1904751712
2019-10-05 01:00:00,124011760,1657188320
2019-10-06 01:00:00,138127512,1804131712
2019-10-07 01:00:00,169799928,2078719976
2019-10-08 01:00:00,159694616,2191201832
2019-10-09 01:00:00,166587120,2148028984
